Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,quantity,city
AMC Ambassador Brougham,13,8,360,175,3821,11,73,US,25,NewYork
AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US,2,NJ
AMC Ambassador SST,17,8,304,150,3672,11.5,72,US,4,DALLAS
AMC Concord,19.4,6,232,90,3210,17.2,78,US,52,TEXAS
AMC Concord,24.3,4,151,90,3003,20.1,80,US,42,OH
AMC Concord d/l,18.1,6,258,120,3410,15.1,78,US,4,NewYork
AMC Concord DL,23,4,151,0,3035,20.5,82,US,45,NJ
AMC Concord DL 6,20.2,6,232,90,3265,18.2,79,US,328,DALLAS
AMC Gremlin,21,6,199,90,2648,15,70,US,68,TEXAS
AMC Gremlin,19,6,232,100,2634,13,71,US,78,OH
AMC Gremlin,18,6,232,100,2789,15,73,US,152,NewYork
AMC Gremlin,20,6,232,100,2914,16,75,US,214,NJ
AMC Hornet,18,6,199,97,2774,15.5,70,US,60,DALLAS
AMC Hornet,18,6,232,100,2945,16,73,US,144,TEXAS
AMC Hornet,19,6,232,100,2901,16,74,US,172,OH
AMC Hornet,22.5,6,232,90,3085,17.6,76,US,28,NewYork
AMC Hornet Sportabout (sw),18,6,258,110,2962,13.5,71,US,90,NJ
AMC Matador,18,6,232,100,3288,15.5,71,US,82,DALLAS
AMC Matador,14,8,304,150,3672,11.5,73,US,131,TEXAS
AMC Matador,16,6,258,110,3632,18,74,US,179,NewYork
AMC Matador,15,6,258,110,3730,19,75,US,207,NJ
AMC Matador,15.5,8,304,120,3962,13.9,76,US,234,DALLAS
AMC Matador (sw),15,8,304,150,3892,12.5,72,US,117,TEXAS
AMC Matador (sw),14,8,304,150,4257,15.5,74,US,185,OH
AMC Pacer,19,6,232,90,3211,17,75,US,221,NewYork
AMC Pacer d/l,17.5,6,258,95,3193,17.8,76,US,75,NJ
AMC Rebel SST,16,8,304,150,3433,12,70,US,4,DALLAS
AMC Rebel SST (sw),0,8,360,175,3850,11,70,US,53,TEXAS
AMC Spirit DL,27.4,4,121,80,2670,15,79,US,575,OH
Audi 100 LS,24,4,107,90,2430,14.5,70,Europe,65,NewYork
Audi 100LS,20,4,114,91,2582,14,73,Europe,164,NJ
Audi 100LS,23,4,115,95,2694,15,75,Europe,45,DALLAS
Audi 4000,34.3,4,97,78,2188,15.8,80,Europe,362,TEXAS
Audi 5000,20.3,5,131,103,2830,15.9,78,Europe,319,OH
Audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe,372,NewYork
Audi Fox,29,4,98,83,2219,16.5,74,Europe,186,NJ
BMW 2002,26,4,121,113,2234,12.5,70,Europe,67,DALLAS
BMW 320i,21.5,4,121,110,2600,12.8,77,Europe,287,TEXAS
Buick Century,17,6,231,110,3907,21,75,US,205,OH
Buick Century,22.4,6,231,110,3415,15.8,81,US,409,NewYork
Buick Century 350,13,8,350,175,4100,13,73,US,130,NJ
Buick Century Limited,25,6,181,110,2945,16.4,82,US,432,DALLAS
Buick Century Luxus (sw),13,8,350,150,4699,14.5,74,US,182,TEXAS
Buick Century Special,20.6,6,231,105,3380,15.8,78,US,303,OH
Buick Electra 225 Custom,12,8,455,225,4951,11,73,US,140,NewYork
Buick Estate Wagon (sw),14,8,455,225,3086,10,70,US,57,NJ
Buick Estate Wagon (sw),16.9,8,350,155,4360,14.9,79,US,334,DALLAS
Buick LeSabre Custom,13,8,350,155,4502,13.5,72,US,113,TEXAS
Buick Opel Isuzu Deluxe,30,4,111,80,2155,14.8,77,US,814,OH
Buick Regal Sport Coupe (turbo),17.7,6,231,165,3445,13.4,78,US,308,NewYork
